ID_Cliente,TaxaMediaPonderada,VolumeMediaMensal,VolumeTotal,VarianciaTaxa,VolatilidadeMensal
10354,0.0089,3353.4276923076923,43594.56,0.0006330788143519455,
10354,0.0484,16.153846153846153,210.0,0.0006330788143519455,
10354,0.0559,230.76923076923077,3000.0,0.0006330788143519455,
10354,0.0634,153.84615384615384,2000.0,0.0006330788143519455,
10354,0.0709,365.53846153846155,4752.0,0.0006330788143519455,
10354,0.07794043649796518,1185.5846153846155,15412.6,0.0006330788143519455,
10356,0.01967023950795913,8561.74,111302.62,0.0006330788143519455,
10356,0.026546749917871027,9652.144615384615,125477.88,0.0006330788143519455,
10356,0.0079,8357.223076923077,108643.9,0.0006330788143519455,
1035,0.031878944017617206,13399.0,174187.0,0.0006330788143519455,
1035,0.033,634.6153846153846,8250.0,0.0006330788143519455,
1035,0.03094042941155658,2600.3846153846152,33805.0,0.0006330788143519455,
